LDNA (nm)	j (index)	j stdev	Force (pN)	fstdev
2.329000E+3	2.415097E+3	1.328972E+1	1.275747E+1	2.493102E-1
2.330000E+3	2.416464E+3	1.364277E+1	1.275151E+1	2.554241E-1
2.331000E+3	2.417903E+3	1.402234E+1	1.274424E+1	2.618840E-1
2.332000E+3	2.419420E+3	1.443515E+1	1.273552E+1	2.688263E-1
2.333000E+3	2.421026E+3	1.488403E+1	1.272522E+1	2.763296E-1
2.334000E+3	2.422729E+3	1.536565E+1	1.271316E+1	2.843717E-1
2.335000E+3	2.424539E+3	1.586877E+1	1.269917E+1	2.927939E-1
2.336000E+3	2.426461E+3	1.637345E+1	1.268315E+1	3.012803E-1
2.337000E+3	2.428498E+3	1.685152E+1	1.266506E+1	3.093610E-1
2.338000E+3	2.430642E+3	1.726864E+1	1.264501E+1	3.164443E-1
2.339000E+3	2.432875E+3	1.758779E+1	1.262330E+1	3.218768E-1
2.340000E+3	2.435173E+3	1.777378E+1	1.260040E+1	3.250251E-1
2.341000E+3	2.437497E+3	1.779816E+1	1.257695E+1	3.253651E-1
2.342000E+3	2.439804E+3	1.764342E+1	1.255373E+1	3.225602E-1
2.343000E+3	2.442049E+3	1.730550E+1	1.253157E+1	3.165123E-1
2.344000E+3	2.444187E+3	1.679427E+1	1.251127E+1	3.073721E-1
2.345000E+3	2.446183E+3	1.613159E+1	1.249348E+1	2.955090E-1
2.346000E+3	2.448008E+3	1.534782E+1	1.247871E+1	2.814502E-1
2.347000E+3	2.449649E+3	1.447759E+1	1.246724E+1	2.658057E-1
2.348000E+3	2.451100E+3	1.355575E+1	1.245919E+1	2.491952E-1
2.349000E+3	2.452366E+3	1.261421E+1	1.245447E+1	2.321912E-1
2.350000E+3	2.453459E+3	1.167996E+1	1.245289E+1	2.152813E-1
2.351000E+3	2.454394E+3	1.077417E+1	1.245420E+1	1.988517E-1
2.352000E+3	2.455188E+3	9.912229E+0	1.245808E+1	1.831852E-1
2.353000E+3	2.455861E+3	9.104240E+0	1.246420E+1	1.684710E-1
2.354000E+3	2.456428E+3	8.355928E+0	1.247226E+1	1.548190E-1
2.355000E+3	2.456907E+3	7.669548E+0	1.248197E+1	1.422762E-1
2.356000E+3	2.457311E+3	7.044772E+0	1.249308E+1	1.308421E-1
2.357000E+3	2.457653E+3	6.479470E+0	1.250537E+1	1.204831E-1
2.358000E+3	2.457943E+3	5.970341E+0	1.251865E+1	1.111430E-1
2.359000E+3	2.458190E+3	5.513418E+0	1.253276E+1	1.027527E-1
2.360000E+3	2.458402E+3	5.104465E+0	1.254756E+1	9.523700E-2
2.361000E+3	2.458584E+3	4.739278E+0	1.256294E+1	8.852037E-2
2.362000E+3	2.458742E+3	4.413928E+0	1.257882E+1	8.253091E-2
2.363000E+3	2.458879E+3	4.124958E+0	1.259512E+1	7.720409E-2
2.364000E+3	2.459000E+3	3.869571E+0	1.261178E+1	7.248600E-2
2.365000E+3	2.459106E+3	3.645825E+0	1.262874E+1	6.833664E-2
2.366000E+3	2.459202E+3	3.452853E+0	1.264596E+1	6.473371E-2
2.367000E+3	2.459287E+3	3.291137E+0	1.266340E+1	6.167728E-2
2.368000E+3	2.459366E+3	3.162825E+0	1.268103E+1	5.919547E-2
2.369000E+3	2.459439E+3	3.072076E+0	1.269881E+1	5.735104E-2
2.370000E+3	2.459509E+3	3.025358E+0	1.271670E+1	5.624804E-2
2.371000E+3	2.459577E+3	3.031560E+0	1.273468E+1	5.603642E-2
2.372000E+3	2.459646E+3	3.101784E+0	1.275269E+1	5.691196E-2
2.373000E+3	2.459720E+3	3.248760E+0	1.277068E+1	5.910912E-2
2.374000E+3	2.459802E+3	3.486063E+0	1.278858E+1	6.288773E-2
2.375000E+3	2.459898E+3	3.827522E+0	1.280630E+1	6.851917E-2
